epoch,final_output,mse
0,31.7364501953125,696.4866333007812
1,39.539833068847656,209.98928833007812
2,47.3192253112793,47.98900604248047
3,50.431941986083984,0.9438154101371765
4,58.18511199951172,15.40398120880127
5,50.912017822265625,27.935365676879883
6,48.819053649902344,5.583704471588135
7,53.69322967529297,9.538588523864746
8,46.172916412353516,5.111367702484131
9,53.859954833984375,4.894904136657715
10,48.8482551574707,9.718080520629883
11,51.07200622558594,5.146821022033691
12,50.94513702392578,10.019309997558594
13,48.619197845458984,5.60612154006958
14,54.03913879394531,9.20394229888916
15,46.33387756347656,4.97747802734375
16,53.80124282836914,4.9889631271362305
17,49.966121673583984,5.934860706329346
18,49.93650436401367,0.002741617150604725
19,49.96622085571289,0.00296125584281981
