Metric,Value
total_epochs,30
final_mse,2.9945113055873662e-06
best_mse,2.159877794838394e-06
average_mse,0.017999881416752336
final_kp,0.11010382324457169
final_ki,0.02230468951165676
final_kd,0.009255918674170971
